CASE ID,CIGAGE,FIRSTCIGTRY,STATISTICS
233,991,991,HIGHRISK
234,991,991,HIGHRISK
235,991,991,HIGHRISK
236,14,14,HIGHRISK
237,991,991,HIGHRISK
238,991,991,HIGHRISK
239,991,991,HIGHRISK
240,991,991,HIGHRISK
241,991,991,HIGHRISK
242,18,18,HIGHRISK
243,991,991,HIGHRISK
244,991,991,HIGHRISK
245,991,991,HIGHRISK
246,999,17,LOWRISK
247,18,15,LOWRISK
248,999,22,LOWRISK
249,999,18,LOWRISK
250,16,13,LOWRISK
251,991,991,HIGHRISK
252,16,12,LOWRISK
253,991,991,HIGHRISK
254,999,23,LOWRISK
255,991,991,HIGHRISK
256,999,13,LOWRISK
257,15,12,LOWRISK
258,999,36,LOWRISK
259,999,18,LOWRISK
260,999,21,LOWRISK
261,991,991,HIGHRISK
262,991,991,HIGHRISK
263,991,991,HIGHRISK
264,17,16,LOWRISK
265,991,991,HIGHRISK
266,20,13,LOWRISK
267,991,991,HIGHRISK
268,18,16,LOWRISK
269,991,991,HIGHRISK
270,991,991,HIGHRISK
271,991,991,HIGHRISK
272,18,18,HIGHRISK
273,991,991,HIGHRISK
274,991,991,HIGHRISK
275,999,10,LOWRISK
276,991,991,HIGHRISK
277,16,16,HIGHRISK
278,991,991,HIGHRISK
279,999,15,LOWRISK
280,991,991,HIGHRISK
281,999,12,LOWRISK
282,999,16,LOWRISK
283,17,14,LOWRISK
284,14,12,LOWRISK
285,991,991,HIGHRISK
286,991,991,HIGHRISK
287,991,991,HIGHRISK
288,999,12,LOWRISK
289,999,20,LOWRISK
290,999,15,LOWRISK
291,30,30,HIGHRISK
292,991,991,HIGHRISK
293,991,991,HIGHRISK
294,991,991,HIGHRISK
295,991,991,HIGHRISK
296,991,991,HIGHRISK
297,991,991,HIGHRISK
298,991,991,HIGHRISK
299,17,17,HIGHRISK
300,17,17,HIGHRISK
301,16,16,HIGHRISK
302,991,991,HIGHRISK
303,991,991,HIGHRISK
304,17,14,LOWRISK
305,991,991,HIGHRISK
306,991,991,HIGHRISK
307,991,991,HIGHRISK
308,999,13,LOWRISK
309,999,16,LOWRISK
310,991,991,HIGHRISK
311,991,991,HIGHRISK
312,999,16,LOWRISK
313,26,26,HIGHRISK
314,991,991,HIGHRISK
315,991,991,HIGHRISK
316,999,12,LOWRISK
317,16,16,HIGHRISK
318,18,16,LOWRISK
319,991,991,HIGHRISK
320,991,991,HIGHRISK
321,999,18,LOWRISK
322,999,15,LOWRISK
323,999,16,LOWRISK
324,18,18,HIGHRISK
325,20,20,HIGHRISK
326,991,991,HIGHRISK
327,991,991,HIGHRISK
328,991,991,HIGHRISK
329,16,10,LOWRISK
330,18,12,LOWRISK
331,20,15,LOWRISK
332,999,21,LOWRISK
333,999,18,LOWRISK
334,999,12,LOWRISK
335,991,991,HIGHRISK
336,999,13,LOWRISK
337,991,991,HIGHRISK
338,12,12,HIGHRISK
339,991,991,HIGHRISK
340,991,991,HIGHRISK
341,999,17,LOWRISK
342,14,12,LOWRISK
343,991,991,HIGHRISK
344,14,12,LOWRISK
345,991,991,HIGHRISK
346,991,991,HIGHRISK
347,991,991,HIGHRISK
348,991,991,HIGHRISK
349,991,991,HIGHRISK
350,991,991,HIGHRISK
351,999,15,LOWRISK
352,999,17,LOWRISK
353,999,18,LOWRISK
354,991,991,HIGHRISK
355,991,991,HIGHRISK
356,16,12,LOWRISK
357,999,22,LOWRISK
358,999,12,LOWRISK
359,991,991,HIGHRISK
360,991,991,HIGHRISK
361,999,20,LOWRISK
362,991,991,HIGHRISK
363,991,991,HIGHRISK
364,991,991,HIGHRISK
365,991,991,HIGHRISK
366,991,991,HIGHRISK
367,18,14,LOWRISK
368,16,13,LOWRISK
369,999,8,LOWRISK
370,15,12,LOWRISK
371,16,10,LOWRISK
372,991,991,HIGHRISK
373,15,13,LOWRISK
374,18,15,LOWRISK
375,999,27,LOWRISK
376,991,991,HIGHRISK
377,999,20,LOWRISK
378,16,13,LOWRISK
379,999,18,LOWRISK
380,999,10,LOWRISK
381,991,991,HIGHRISK
382,991,991,HIGHRISK
383,20,15,LOWRISK
384,17,17,HIGHRISK
385,999,18,LOWRISK
386,999,16,LOWRISK
387,991,991,HIGHRISK
388,15,7,LOWRISK
389,17,17,HIGHRISK
390,999,14,LOWRISK
391,16,15,LOWRISK
392,991,991,HIGHRISK
393,19,18,LOWRISK
394,18,13,LOWRISK
395,41,41,HIGHRISK
396,991,991,HIGHRISK
397,991,991,HIGHRISK
398,999,13,LOWRISK
399,999,19,LOWRISK
400,994,15,LOWRISK
401,991,991,HIGHRISK
402,991,991,HIGHRISK
403,991,991,HIGHRISK
404,991,991,HIGHRISK
405,18,13,LOWRISK
406,991,991,HIGHRISK
407,24,23,LOWRISK
408,15,13,LOWRISK
409,991,991,HIGHRISK
410,991,991,HIGHRISK
411,18,14,LOWRISK
412,12,9,LOWRISK
413,991,991,HIGHRISK
414,999,17,LOWRISK
415,991,991,HIGHRISK
416,991,991,HIGHRISK
417,999,18,LOWRISK
418,999,16,LOWRISK
419,24,12,LOWRISK
420,991,991,HIGHRISK
421,999,15,LOWRISK
422,19,13,LOWRISK
423,991,991,HIGHRISK
424,999,15,LOWRISK
425,999,18,LOWRISK
426,18,15,LOWRISK
427,25,25,HIGHRISK
428,991,991,HIGHRISK
429,999,17,LOWRISK
430,999,16,LOWRISK
431,991,991,HIGHRISK
432,999,12,LOWRISK
433,999,23,LOWRISK
434,991,991,HIGHRISK
435,991,991,HIGHRISK
436,15,11,LOWRISK
437,991,991,HIGHRISK
438,991,991,HIGHRISK
439,991,991,HIGHRISK
440,991,991,HIGHRISK
441,999,17,LOWRISK
442,991,991,HIGHRISK
443,991,991,HIGHRISK
444,999,14,LOWRISK
445,991,991,HIGHRISK
446,999,13,LOWRISK
447,991,991,HIGHRISK
448,991,991,HIGHRISK
449,47,46,LOWRISK
450,16,15,LOWRISK
451,999,24,LOWRISK
452,14,14,HIGHRISK
453,17,13,LOWRISK
454,17,9,LOWRISK
455,999,13,LOWRISK
456,991,991,HIGHRISK
457,999,13,LOWRISK
458,999,18,LOWRISK
459,985,18,LOWRISK
460,19,17,LOWRISK
461,991,991,HIGHRISK
462,17,16,LOWRISK
463,999,16,LOWRISK
464,16,14,LOWRISK
465,991,991,HIGHRISK
466,18,18,HIGHRISK
467,991,991,HIGHRISK
468,999,12,LOWRISK
469,999,6,LOWRISK
470,999,19,LOWRISK
471,991,991,HIGHRISK
472,991,991,HIGHRISK
473,991,991,HIGHRISK
474,999,16,LOWRISK
475,991,991,HIGHRISK
476,991,991,HIGHRISK
477,991,991,HIGHRISK
478,991,991,HIGHRISK
479,991,991,HIGHRISK
480,999,16,LOWRISK
481,16,12,LOWRISK
482,999,15,LOWRISK
483,991,991,HIGHRISK
484,991,991,HIGHRISK
485,991,991,HIGHRISK
486,17,17,HIGHRISK
487,999,18,LOWRISK
488,999,17,LOWRISK
489,991,991,HIGHRISK
490,999,15,LOWRISK
491,999,13,LOWRISK
492,991,991,HIGHRISK
493,991,991,HIGHRISK
494,999,16,LOWRISK
495,991,991,HIGHRISK
496,999,14,LOWRISK
497,999,16,LOWRISK
498,14,14,HIGHRISK
499,16,11,LOWRISK
500,991,991,HIGHRISK
501,999,16,LOWRISK
502,16,14,LOWRISK
503,18,16,LOWRISK
504,16,10,LOWRISK
505,991,991,HIGHRISK
506,13,13,HIGHRISK
507,16,13,LOWRISK
508,999,24,LOWRISK
509,991,991,HIGHRISK
510,18,18,HIGHRISK
511,16,13,LOWRISK
512,999,16,LOWRISK
513,991,991,HIGHRISK
514,991,991,HIGHRISK
515,17,17,HIGHRISK
516,991,991,HIGHRISK
517,991,991,HIGHRISK
518,991,991,HIGHRISK
519,991,991,HIGHRISK
520,991,991,HIGHRISK
521,22,17,LOWRISK
522,22,9,LOWRISK
523,15,13,LOWRISK
524,991,991,HIGHRISK
525,27,24,LOWRISK
526,999,16,LOWRISK
527,16,13,LOWRISK
528,999,13,LOWRISK
529,991,991,HIGHRISK
530,991,991,HIGHRISK
531,991,991,HIGHRISK
532,991,991,HIGHRISK
533,991,991,HIGHRISK
534,12,12,HIGHRISK
535,19,16,LOWRISK
536,991,991,HIGHRISK
537,991,991,HIGHRISK
538,991,991,HIGHRISK
539,13,11,LOWRISK
540,999,14,LOWRISK
541,999,13,LOWRISK
542,14,14,HIGHRISK
543,999,14,LOWRISK
544,991,991,HIGHRISK
545,999,13,LOWRISK
546,991,991,HIGHRISK
547,991,991,HIGHRISK
548,15,13,LOWRISK
549,991,991,HIGHRISK
550,23,23,HIGHRISK
551,991,991,HIGHRISK
552,999,12,LOWRISK
553,999,19,LOWRISK
554,991,991,HIGHRISK
555,18,15,LOWRISK
556,999,10,LOWRISK
557,991,991,HIGHRISK
558,999,17,LOWRISK
559,19,16,LOWRISK
560,19,19,HIGHRISK
561,25,16,LOWRISK
562,991,991,HIGHRISK
563,991,991,HIGHRISK
564,999,20,LOWRISK
565,991,991,HIGHRISK
566,18,15,LOWRISK
567,991,991,HIGHRISK
568,991,991,HIGHRISK
569,999,18,LOWRISK
570,19,4,LOWRISK
571,991,991,HIGHRISK
572,991,991,HIGHRISK
573,991,991,HIGHRISK
574,991,991,HIGHRISK
575,991,991,HIGHRISK
576,999,10,LOWRISK
577,991,991,HIGHRISK
578,991,991,HIGHRISK
579,991,991,HIGHRISK
580,991,991,HIGHRISK
581,999,22,LOWRISK
582,15,15,HIGHRISK
583,991,991,HIGHRISK
584,999,16,LOWRISK
585,991,991,HIGHRISK
586,999,20,LOWRISK
587,991,991,HIGHRISK
588,991,991,HIGHRISK
589,14,14,HIGHRISK
590,999,17,LOWRISK
591,991,991,HIGHRISK
592,999,13,LOWRISK
593,999,10,LOWRISK
594,15,13,LOWRISK
595,14,11,LOWRISK
596,999,12,LOWRISK
597,999,16,LOWRISK
598,999,16,LOWRISK
599,999,10,LOWRISK
600,991,991,HIGHRISK
601,991,991,HIGHRISK
602,22,16,LOWRISK
603,991,991,HIGHRISK
604,991,991,HIGHRISK
605,991,991,HIGHRISK
606,991,991,HIGHRISK
607,999,15,LOWRISK
608,18,14,LOWRISK
609,999,18,LOWRISK
610,14,12,LOWRISK
611,999,22,LOWRISK
612,991,991,HIGHRISK
613,999,14,LOWRISK
614,991,991,HIGHRISK
615,991,991,HIGHRISK
616,991,991,HIGHRISK
617,14,12,LOWRISK
618,23,23,HIGHRISK
619,12,9,LOWRISK
620,21,21,HIGHRISK
621,991,991,HIGHRISK
622,999,10,LOWRISK
623,15,15,HIGHRISK
624,999,19,LOWRISK
625,991,991,HIGHRISK
626,18,15,LOWRISK
627,991,991,HIGHRISK
628,999,14,LOWRISK
629,991,991,HIGHRISK
630,16,14,LOWRISK
631,999,16,LOWRISK
632,18,18,HIGHRISK
633,991,991,HIGHRISK
634,999,13,LOWRISK
635,16,15,LOWRISK
636,999,16,LOWRISK
637,991,991,HIGHRISK
638,991,991,HIGHRISK
639,18,13,LOWRISK
640,999,22,LOWRISK
641,991,991,HIGHRISK
642,991,991,HIGHRISK
643,999,13,LOWRISK
644,999,16,LOWRISK
645,999,18,LOWRISK
646,991,991,HIGHRISK
647,991,991,HIGHRISK
648,991,991,HIGHRISK
649,991,991,HIGHRISK
650,22,22,HIGHRISK
651,999,21,LOWRISK
652,999,6,LOWRISK
653,991,991,HIGHRISK
654,999,18,LOWRISK
655,991,991,HIGHRISK
656,999,18,LOWRISK
657,999,18,LOWRISK
658,999,16,LOWRISK
659,15,12,LOWRISK
660,991,991,HIGHRISK
661,991,991,HIGHRISK
662,991,991,HIGHRISK
663,999,16,LOWRISK
664,999,18,LOWRISK
665,991,991,HIGHRISK
666,999,16,LOWRISK
667,991,991,HIGHRISK
668,991,991,HIGHRISK
669,15,15,HIGHRISK
670,991,991,HIGHRISK
671,999,18,LOWRISK
672,991,991,HIGHRISK
673,991,991,HIGHRISK
674,16,12,LOWRISK
675,999,17,LOWRISK
676,19,17,LOWRISK
677,991,991,HIGHRISK
678,999,15,LOWRISK
679,991,991,HIGHRISK
680,991,991,HIGHRISK
681,991,991,HIGHRISK
682,14,14,HIGHRISK
683,991,991,HIGHRISK
684,18,18,HIGHRISK
685,15,13,LOWRISK
686,991,991,HIGHRISK
687,991,991,HIGHRISK
688,991,991,HIGHRISK
689,20,13,LOWRISK
690,991,991,HIGHRISK
691,991,991,HIGHRISK
692,991,991,HIGHRISK
693,16,14,LOWRISK
694,999,16,LOWRISK
695,999,14,LOWRISK
696,991,991,HIGHRISK
697,991,991,HIGHRISK
698,991,991,HIGHRISK
699,991,991,HIGHRISK
700,991,991,HIGHRISK
701,999,17,LOWRISK
702,991,991,HIGHRISK
703,991,991,HIGHRISK
704,991,991,HIGHRISK
705,28,25,LOWRISK
706,991,991,HIGHRISK
707,991,991,HIGHRISK
708,15,8,LOWRISK
709,999,19,LOWRISK
710,991,991,HIGHRISK
711,999,20,LOWRISK
712,999,14,LOWRISK
713,17,16,LOWRISK
714,991,991,HIGHRISK
715,999,18,LOWRISK
716,991,991,HIGHRISK
717,991,991,HIGHRISK
718,991,991,HIGHRISK
719,991,991,HIGHRISK
720,991,991,HIGHRISK
721,991,991,HIGHRISK
722,991,991,HIGHRISK
723,23,14,LOWRISK
724,991,991,HIGHRISK
725,999,20,LOWRISK
726,991,991,HIGHRISK
727,17,17,HIGHRISK
728,991,991,HIGHRISK
729,999,18,LOWRISK
730,999,18,LOWRISK
731,14,12,LOWRISK
732,17,14,LOWRISK
733,999,15,LOWRISK
734,15,13,LOWRISK
735,991,991,HIGHRISK
736,991,991,HIGHRISK
737,999,16,LOWRISK
738,991,991,HIGHRISK
739,991,991,HIGHRISK
740,20,17,LOWRISK
741,991,991,HIGHRISK
742,20,20,HIGHRISK
743,991,991,HIGHRISK
744,999,12,LOWRISK
745,999,16,LOWRISK
746,991,991,HIGHRISK
747,991,991,HIGHRISK
748,991,991,HIGHRISK
749,991,991,HIGHRISK
750,20,18,LOWRISK
751,991,991,HIGHRISK
752,16,10,LOWRISK
753,991,991,HIGHRISK
754,999,13,LOWRISK
755,999,11,LOWRISK
756,24,24,HIGHRISK
757,16,14,LOWRISK
758,15,15,HIGHRISK
759,20,17,LOWRISK
760,991,991,HIGHRISK
761,991,991,HIGHRISK
762,21,20,LOWRISK
763,21,18,LOWRISK
764,999,13,LOWRISK
765,15,15,HIGHRISK
766,15,13,LOWRISK
767,18,14,LOWRISK
768,18,15,LOWRISK
769,999,20,LOWRISK
770,991,991,HIGHRISK
771,14,14,HIGHRISK
